Encryption Timing (cycles/byte)
 P_len/AD_len(bytes),         0,        15,        30,        60,       120,       240,       480,       960,      1920,      3840,      7680,     15360,     30720,     61440,    122880,    245760,    491520,    983040,
                4096,      2.50,      2.52,      2.53,      2.54,      2.54,      2.52,      2.51,      2.48,      2.48,      2.46,      2.45,      2.44,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,
                8192,      2.49,      2.50,      2.50,      2.51,      2.51,      2.50,      2.49,      2.48,      2.48,      2.47,      2.46,      2.44,      2.43,      2.43,      2.42,      2.42,      2.42,      2.42,
               16384,      2.48,      2.49,      2.49,      2.49,      2.49,      2.49,      2.48,      2.48,      2.48,      2.47,      2.46,      2.45,      2.44,      2.43,      2.43,      2.42,      2.42,      2.42,
               32768,      2.48,      2.48,      2.49,      2.49,      2.49,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.46,      2.45,      2.44,      2.43,      2.43,      2.42,      2.42,
               65536,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.47,      2.46,      2.45,      2.44,      2.43,      2.42,      2.42,
              131072,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.47,      2.47,      2.46,      2.45,      2.44,      2.43,      2.43,
              262144,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.47,      2.46,      2.46,      2.45,      2.44,      2.43,
              524288,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.47,      2.47,      2.47,      2.46,      2.45,      2.44,
             1048576,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.47,      2.47,      2.46,      2.45,

Encryption Timing (cycles/byte)
 P_len/AD_len(bytes),         0,        15,        30,        60,       120,       240,       480,       960,      1920,      3840,      7680,     15360,     30720,     61440,    122880,    245760,    491520,    983040,
                   0,     96.50,     11.27,      7.98,      6.02,      4.43,      3.16,      2.73,      2.52,      2.48,      2.45,      2.43,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                  16,     10.09,      7.60,      6.61,      5.61,      4.43,      3.21,      2.78,      2.55,      2.49,      2.46,      2.44,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                  32,      7.02,      6.37,      5.98,      5.33,      4.38,      3.26,      2.81,      2.57,      2.50,      2.46,      2.44,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                  64,      4.13,      4.54,      4.57,      4.46,      3.94,      3.07,      2.74,      2.52,      2.48,      2.45,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                 128,      3.32,      3.62,      3.75,      3.80,      3.57,      2.97,      2.71,      2.51,      2.47,      2.45,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                 256,      2.89,      3.08,      3.17,      3.24,      3.19,      2.84,      2.67,      2.51,      2.47,      2.45,      2.43,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
                 512,      2.68,      2.78,      2.84,      2.90,      2.90,      2.71,      2.62,      2.50,      2.48,      2.45,      2.44,      2.43,      2.42,      2.42,      2.42,      2.42,      2.42,      2.42,
