 P_len/AD_len(bytes),                   0,                  15,                  30,                  45,                  60,                  75,                  90,                 105,                 120,                 135,                 150,                 165,                 180,                 195,                 210,                 225,                 240,                 255,                 270,                 285,                 300,                 315,                 330,                 345,                 360,                 375,                 390,                 405,                 420,                 435,                 450,                 465,                 480,                 495,                 510,                 525,                 540,                 555,                 570,                 585,                 600,                 615,                 630,                 645,                 660,                 675,                 690,                 705,                 720,                 735,                 750,                 765,                 780,                 795,                 810,                 825,                 840,                 855,                 870,                 885,                 900,                 915,                 930,                 945,                 960,
                 416,      2.80 (  0.28%),      2.90 (  0.29%),      3.00 (  0.28%),      3.00 (  0.38%),      3.00 (  0.26%),      2.90 (  0.27%),      3.00 (  0.23%),      3.00 (  0.31%),      3.00 (  0.28%),      2.80 (  0.38%),      2.90 (  0.25%),      2.90 (  0.25%),      3.00 (  0.26%),      2.80 (  0.26%),      2.90 (  0.36%),      2.90 (  0.24%),      2.80 (  0.23%),      2.80 (  0.23%),      2.70 (  0.26%),      2.80 (  0.37%),      2.80 (  0.24%),      2.80 (  0.27%),      2.70 (  0.26%),      2.80 (  0.36%),      2.80 (  0.27%),      2.80 (  0.27%),      2.70 (  0.29%),      2.70 (  0.35%),      2.80 (  0.26%),      2.80 (  0.26%),      2.70 (  0.26%),      2.70 (  0.35%),      2.60 (  0.26%),      2.70 (  0.23%),      2.70 (  0.26%),      2.60 (  0.37%),      2.70 (  0.24%),      2.70 (  0.24%),      2.70 (  0.33%),      2.60 (  0.26%),      2.70 (  0.22%),      2.70 (  0.25%),      2.70 (  0.25%),      2.60 (  0.25%),      2.70 (  0.24%),      2.70 (  0.33%),      2.70 (  0.24%),      2.60 (  0.27%),      2.60 (  0.31%),      2.60 (  0.25%),      2.60 (  0.24%),      2.60 (  0.31%),      2.60 (  0.24%),      2.60 (  0.30%),      2.60 (  0.27%),      2.60 (  0.25%),      2.60 (  0.35%),      2.60 (  0.23%),      2.60 (  0.27%),      2.60 (  0.35%),      2.60 (  0.24%),      2.60 (  0.29%),      2.60 (  0.24%),      2.60 (  0.27%),      2.50 (  0.35%),
                 432,      2.80 (  0.26%),      2.90 (  0.26%),      3.00 (  0.28%),      3.00 (  0.27%),      3.10 (  0.29%),      2.90 (  0.39%),      3.00 (  0.24%),      3.00 (  0.23%),      3.00 (  0.24%),      2.90 (  0.28%),      2.90 (  0.37%),      3.00 (  0.26%),      3.00 (  0.27%),      2.80 (  0.25%),      2.90 (  0.24%),      2.90 (  0.36%),      2.80 (  0.24%),      2.90 (  0.24%),      2.70 (  0.29%),      2.80 (  0.26%),      2.80 (  0.34%),      2.90 (  0.25%),      2.70 (  0.26%),      2.80 (  0.25%),      2.80 (  0.35%),      2.80 (  0.26%),      2.70 (  0.25%),      2.80 (  0.25%),      2.80 (  0.33%),      2.80 (  0.24%),      2.70 (  0.25%),      2.80 (  0.33%),      2.70 (  0.25%),      2.70 (  0.25%),      2.70 (  0.29%),      2.60 (  0.34%),      2.70 (  0.26%),      2.70 (  0.23%),      2.70 (  0.34%),      2.60 (  0.25%),      2.70 (  0.25%),      2.70 (  0.29%),      2.70 (  0.27%),      2.60 (  0.23%),      2.70 (  0.29%),      2.70 (  0.31%),      2.70 (  0.25%),      2.60 (  0.28%),      2.60 (  0.27%),      2.60 (  0.23%),      2.60 (  0.32%),      2.70 (  0.26%),      2.60 (  0.26%),      2.60 (  0.33%),      2.60 (  0.24%),      2.70 (  0.25%),      2.60 (  0.32%),      2.60 (  0.23%),      2.60 (  0.28%),      2.70 (  0.26%),      2.60 (  0.25%),      2.60 (  0.31%),      2.60 (  0.26%),      2.70 (  0.27%),      2.50 (  0.26%),
                 448,      2.70 (  0.24%),      2.80 (  0.26%),      2.80 (  0.26%),      2.90 (  0.27%),      2.90 (  0.39%),      2.70 (  0.26%),      2.80 (  0.22%),      2.90 (  0.24%),      2.90 (  0.30%),      2.70 (  0.33%),      2.80 (  0.26%),      2.80 (  0.24%),      2.90 (  0.23%),      2.70 (  0.24%),      2.80 (  0.26%),      2.80 (  0.26%),      2.70 (  0.22%),      2.80 (  0.23%),      2.60 (  0.27%),      2.70 (  0.34%),      2.70 (  0.22%),      2.80 (  0.23%),      2.60 (  0.25%),      2.70 (  0.33%),      2.70 (  0.28%),      2.70 (  0.24%),      2.60 (  0.28%),      2.70 (  0.35%),      2.70 (  0.25%),      2.70 (  0.25%),      2.60 (  0.25%),      2.70 (  0.36%),      2.60 (  0.24%),      2.60 (  0.22%),      2.70 (  0.27%),      2.60 (  0.35%),      2.60 (  0.24%),      2.60 (  0.25%),      2.70 (  0.34%),      2.60 (  0.24%),      2.60 (  0.28%),      2.60 (  0.30%),      2.60 (  0.26%),      2.60 (  0.24%),      2.60 (  0.22%),      2.60 (  0.26%),      2.60 (  0.23%),      2.60 (  0.28%),      2.50 (  0.24%),      2.60 (  0.25%),      2.60 (  0.30%),      2.60 (  0.23%),      2.50 (  0.27%),      2.60 (  0.31%),      2.60 (  0.23%),      2.60 (  0.24%),      2.50 (  0.33%),      2.60 (  0.22%),      2.60 (  0.27%),      2.60 (  0.33%),      2.50 (  0.25%),      2.60 (  0.34%),      2.60 (  0.23%),      2.60 (  0.28%),      2.50 (  0.34%),
                 464,      2.70 (  0.24%),      2.80 (  0.27%),      2.90 (  0.25%),      2.90 (  0.25%),      2.90 (  0.41%),      2.80 (  0.27%),      2.90 (  0.24%),      2.90 (  0.25%),      2.90 (  0.30%),      2.80 (  0.37%),      2.80 (  0.25%),      2.90 (  0.27%),      2.90 (  0.25%),      2.70 (  0.25%),      2.80 (  0.37%),      2.80 (  0.23%),      2.70 (  0.25%),      2.80 (  0.28%),      2.70 (  0.25%),      2.70 (  0.36%),      2.70 (  0.24%),      2.80 (  0.24%),      2.60 (  0.26%),      2.70 (  0.34%),      2.70 (  0.25%),      2.80 (  0.25%),      2.60 (  0.27%),      2.70 (  0.35%),      2.70 (  0.24%),      2.70 (  0.25%),      2.60 (  0.24%),      2.70 (  0.29%),      2.60 (  0.24%),      2.70 (  0.28%),      2.70 (  0.32%),      2.60 (  0.25%),      2.60 (  0.24%),      2.70 (  0.31%),      2.70 (  0.24%),      2.60 (  0.23%),      2.60 (  0.28%),      2.60 (  0.33%),      2.70 (  0.23%),      2.60 (  0.23%),      2.60 (  0.34%),      2.60 (  0.23%),      2.70 (  0.28%),      2.60 (  0.33%),      2.50 (  0.24%),      2.60 (  0.24%),      2.60 (  0.25%),      2.60 (  0.25%),      2.50 (  0.34%),      2.60 (  0.23%),      2.60 (  0.24%),      2.60 (  0.31%),      2.50 (  0.24%),      2.60 (  0.26%),      2.60 (  0.31%),      2.60 (  0.24%),      2.50 (  0.32%),      2.60 (  0.25%),      2.60 (  0.26%),      2.60 (  0.32%),      2.50 (  0.25%),
                 480,      2.70 (  0.27%),      2.90 (  0.38%),      2.90 (  0.25%),      2.90 (  0.26%),      3.00 (  0.25%),      2.80 (  0.31%),      2.90 (  0.25%),      2.90 (  0.37%),      3.00 (  0.24%),      2.80 (  0.24%),      2.90 (  0.24%),      2.90 (  0.24%),      2.90 (  0.36%),      2.80 (  0.24%),      2.80 (  0.22%),      2.90 (  0.26%),      2.70 (  0.36%),      2.80 (  0.26%),      2.70 (  0.24%),      2.80 (  0.26%),      2.80 (  0.26%),      2.80 (  0.36%),      2.70 (  0.25%),      2.70 (  0.28%),      2.80 (  0.24%),      2.80 (  0.35%),      2.70 (  0.25%),      2.70 (  0.25%),      2.70 (  0.33%),      2.80 (  0.23%),      2.70 (  0.25%),      2.70 (  0.27%),      2.60 (  0.32%),      2.70 (  0.24%),      2.70 (  0.25%),      2.60 (  0.31%),      2.70 (  0.23%),      2.70 (  0.27%),      2.70 (  0.31%),      2.60 (  0.27%),      2.70 (  0.26%),      2.70 (  0.22%),      2.70 (  0.26%),      2.60 (  0.24%),      2.60 (  0.26%),      2.70 (  0.26%),      2.70 (  0.22%),      2.60 (  0.35%),      2.60 (  0.24%),      2.60 (  0.26%),      2.60 (  0.33%),      2.60 (  0.25%),      2.60 (  0.23%),      2.60 (  0.34%),      2.60 (  0.24%),      2.60 (  0.28%),      2.60 (  0.27%),      2.60 (  0.26%),      2.60 (  0.31%),      2.60 (  0.25%),      2.60 (  0.28%),      2.60 (  0.31%),      2.60 (  0.27%),      2.60 (  0.29%),      2.50 (  0.25%),
                 496,      2.80 (  0.31%),      2.90 (  0.24%),      2.90 (  0.37%),      3.00 (  0.27%),      3.00 (  0.26%),      2.80 (  0.27%),      2.90 (  0.28%),      2.90 (  0.36%),      3.00 (  0.25%),      2.80 (  0.25%),      2.90 (  0.25%),      2.90 (  0.28%),      2.90 (  0.36%),      2.80 (  0.24%),      2.90 (  0.24%),      2.90 (  0.26%),      2.80 (  0.30%),      2.80 (  0.28%),      2.70 (  0.26%),      2.80 (  0.28%),      2.80 (  0.25%),      2.80 (  0.40%),      2.70 (  0.24%),      2.80 (  0.24%),      2.80 (  0.32%),      2.80 (  0.26%),      2.70 (  0.26%),      2.70 (  0.27%),      2.80 (  0.37%),      2.80 (  0.24%),      2.70 (  0.24%),      2.70 (  0.25%),      2.60 (  0.27%),      2.70 (  0.23%),      2.70 (  0.27%),      2.60 (  0.33%),      2.70 (  0.23%),      2.70 (  0.25%),      2.70 (  0.32%),      2.60 (  0.23%),      2.70 (  0.26%),      2.70 (  0.31%),      2.70 (  0.25%),      2.60 (  0.27%),      2.70 (  0.32%),      2.70 (  0.23%),      2.70 (  0.28%),      2.60 (  0.31%),      2.60 (  0.26%),      2.60 (  0.23%),      2.60 (  0.29%),      2.70 (  0.28%),      2.60 (  0.30%),      2.60 (  0.25%),      2.60 (  0.25%),      2.70 (  0.35%),      2.60 (  0.23%),      2.60 (  0.35%),      2.60 (  0.24%),      2.60 (  0.27%),      2.60 (  0.33%),      2.60 (  0.25%),      2.60 (  0.33%),      2.60 (  0.23%),      2.50 (  0.23%),
                 512,      2.60 (  0.38%),      2.70 (  0.24%),      2.80 (  0.25%),      2.80 (  0.23%),      2.80 (  0.29%),      2.70 (  0.24%),      2.80 (  0.36%),      2.80 (  0.22%),      2.90 (  0.26%),      2.70 (  0.24%),      2.80 (  0.23%),      2.80 (  0.35%),      2.80 (  0.23%),      2.70 (  0.24%),      2.80 (  0.26%),      2.80 (  0.33%),      2.70 (  0.25%),      2.70 (  0.23%),      2.60 (  0.24%),      2.70 (  0.23%),      2.70 (  0.33%),      2.70 (  0.23%),      2.60 (  0.27%),      2.70 (  0.22%),      2.70 (  0.30%),      2.70 (  0.21%),      2.60 (  0.26%),      2.70 (  0.35%),      2.70 (  0.25%),      2.70 (  0.26%),      2.60 (  0.30%),      2.70 (  0.36%),      2.60 (  0.23%),      2.60 (  0.23%),      2.70 (  0.34%),      2.60 (  0.24%),      2.60 (  0.25%),      2.60 (  0.31%),      2.60 (  0.25%),      2.60 (  0.22%),      2.60 (  0.23%),      2.60 (  0.28%),      2.60 (  0.24%),      2.60 (  0.26%),      2.60 (  0.25%),      2.60 (  0.23%),      2.60 (  0.31%),      2.60 (  0.23%),      2.50 (  0.27%),      2.60 (  0.31%),      2.60 (  0.24%),      2.60 (  0.23%),      2.50 (  0.33%),      2.60 (  0.22%),      2.60 (  0.25%),      2.60 (  0.32%),      2.50 (  0.24%),      2.60 (  0.31%),      2.60 (  0.24%),      2.60 (  0.29%),      2.50 (  0.33%),      2.60 (  0.24%),      2.60 (  0.33%),      2.60 (  0.24%),      2.50 (  0.31%),
                 528,      2.70 (  0.29%),      2.80 (  0.25%),      2.80 (  0.24%),      2.90 (  0.24%),      2.90 (  0.25%),      2.70 (  0.37%),      2.80 (  0.25%),      2.80 (  0.23%),      2.90 (  0.26%),      2.70 (  0.27%),      2.80 (  0.36%),      2.80 (  0.25%),      2.80 (  0.24%),      2.70 (  0.25%),      2.80 (  0.28%),      2.80 (  0.27%),      2.70 (  0.23%),      2.80 (  0.29%),      2.60 (  0.24%),      2.70 (  0.35%),      2.70 (  0.22%),      2.70 (  0.25%),      2.60 (  0.24%),      2.70 (  0.32%),      2.70 (  0.23%),      2.70 (  0.28%),      2.60 (  0.34%),      2.70 (  0.24%),      2.70 (  0.23%),      2.70 (  0.24%),      2.60 (  0.34%),      2.70 (  0.23%),      2.60 (  0.30%),      2.60 (  0.34%),      2.70 (  0.22%),      2.60 (  0.25%),      2.60 (  0.32%),      2.60 (  0.25%),      2.70 (  0.28%),      2.60 (  0.33%),      2.60 (  0.24%),      2.60 (  0.23%),      2.70 (  0.32%),      2.60 (  0.25%),      2.60 (  0.26%),      2.60 (  0.34%),      2.70 (  0.22%),      2.60 (  0.24%),      2.50 (  0.32%),      2.60 (  0.21%),      2.60 (  0.26%),      2.60 (  0.33%),      2.50 (  0.25%),      2.60 (  0.32%),      2.60 (  0.23%),      2.60 (  0.27%),      2.50 (  0.33%),      2.60 (  0.23%),      2.60 (  0.28%),      2.60 (  0.26%),      2.50 (  0.28%),      2.60 (  0.32%),      2.60 (  0.24%),      2.60 (  0.32%),      2.50 (  0.25%),
                 544,      2.70 (  0.33%),      2.80 (  0.26%),      2.90 (  0.34%),      2.90 (  0.26%),      2.90 (  0.24%),      2.80 (  0.25%),      2.80 (  0.25%),      2.90 (  0.35%),      2.90 (  0.24%),      2.70 (  0.24%),      2.80 (  0.28%),      2.80 (  0.25%),      2.90 (  0.35%),      2.70 (  0.25%),      2.80 (  0.26%),      2.80 (  0.24%),      2.70 (  0.36%),      2.80 (  0.24%),      2.70 (  0.24%),      2.70 (  0.30%),      2.70 (  0.36%),      2.80 (  0.24%),      2.70 (  0.24%),      2.70 (  0.25%),      2.70 (  0.34%),      2.70 (  0.24%),      2.60 (  0.28%),      2.70 (  0.38%),      2.70 (  0.25%),      2.70 (  0.23%),      2.60 (  0.25%),      2.70 (  0.35%),      2.60 (  0.25%),      2.70 (  0.30%),      2.70 (  0.30%),      2.60 (  0.25%),      2.60 (  0.24%),      2.70 (  0.33%),      2.70 (  0.25%),      2.60 (  0.29%),      2.60 (  0.31%),      2.60 (  0.24%),      2.70 (  0.23%),      2.60 (  0.33%),      2.60 (  0.24%),      2.70 (  0.27%),      2.70 (  0.32%),      2.60 (  0.25%),      2.60 (  0.34%),      2.60 (  0.24%),      2.60 (  0.28%),      2.60 (  0.33%),      2.60 (  0.24%),      2.60 (  0.22%),      2.60 (  0.32%),      2.60 (  0.27%),      2.60 (  0.36%),      2.60 (  0.23%),      2.60 (  0.24%),      2.60 (  0.28%),      2.60 (  0.27%),      2.60 (  0.33%),      2.60 (  0.23%),      2.60 (  0.30%),      2.50 (  0.23%),
                 560,      2.70 (  0.28%),      2.80 (  0.25%),      2.90 (  0.34%),      2.90 (  0.25%),      2.90 (  0.26%),      2.80 (  0.26%),      2.90 (  0.24%),      2.90 (  0.35%),      2.90 (  0.25%),      2.80 (  0.25%),      2.80 (  0.28%),      2.90 (  0.33%),      2.90 (  0.24%),      2.80 (  0.25%),      2.80 (  0.25%),      2.80 (  0.26%),      2.70 (  0.27%),      2.80 (  0.24%),      2.70 (  0.28%),      2.70 (  0.31%),      2.80 (  0.26%),      2.80 (  0.25%),      2.70 (  0.25%),      2.70 (  0.32%),      2.80 (  0.26%),      2.80 (  0.24%),      2.70 (  0.24%),      2.70 (  0.36%),      2.70 (  0.23%),      2.80 (  0.23%),      2.70 (  0.36%),      2.70 (  0.22%),      2.60 (  0.27%),      2.70 (  0.36%),      2.70 (  0.22%),      2.60 (  0.24%),      2.70 (  0.34%),      2.70 (  0.24%),      2.70 (  0.25%),      2.60 (  0.35%),      2.70 (  0.25%),      2.70 (  0.25%),      2.70 (  0.35%),      2.60 (  0.24%),      2.70 (  0.26%),      2.70 (  0.32%),      2.70 (  0.25%),      2.60 (  0.31%),      2.60 (  0.26%),      2.60 (  0.28%),      2.60 (  0.31%),      2.60 (  0.25%),      2.60 (  0.25%),      2.60 (  0.31%),      2.60 (  0.28%),      2.60 (  0.33%),      2.60 (  0.26%),      2.60 (  0.23%),      2.60 (  0.30%),      2.60 (  0.29%),      2.60 (  0.32%),      2.60 (  0.25%),      2.60 (  0.33%),      2.60 (  0.23%),      2.50 (  0.28%),
                 576,      2.60 (  0.34%),      2.70 (  0.24%),      2.80 (  0.22%),      2.80 (  0.25%),      2.80 (  0.23%),      2.70 (  0.39%),      2.80 (  0.23%),      2.80 (  0.23%),      2.80 (  0.28%),      2.70 (  0.23%),      2.70 (  0.39%),      2.80 (  0.25%),      2.80 (  0.23%),      2.70 (  0.25%),      2.70 (  0.33%),      2.70 (  0.22%),      2.60 (  0.23%),      2.70 (  0.26%),      2.60 (  0.33%),      2.70 (  0.23%),      2.70 (  0.24%),      2.70 (  0.22%),      2.60 (  0.33%),      2.70 (  0.23%),      2.70 (  0.27%),      2.70 (  0.31%),      2.60 (  0.24%),      2.60 (  0.22%),      2.70 (  0.23%),      2.70 (  0.33%),      2.60 (  0.22%),      2.60 (  0.28%),      2.60 (  0.32%),      2.60 (  0.23%),      2.60 (  0.23%),      2.50 (  0.33%),      2.60 (  0.25%),      2.60 (  0.25%),      2.60 (  0.33%),      2.50 (  0.23%),      2.60 (  0.25%),      2.60 (  0.33%),      2.60 (  0.24%),      2.50 (  0.26%),      2.60 (  0.33%),      2.60 (  0.25%),      2.60 (  0.24%),      2.50 (  0.33%),      2.50 (  0.22%),      2.60 (  0.32%),      2.60 (  0.24%),      2.60 (  0.23%),      2.50 (  0.31%),      2.60 (  0.21%),      2.60 (  0.27%),      2.60 (  0.26%),      2.50 (  0.24%),      2.60 (  0.30%),      2.60 (  0.25%),      2.60 (  0.34%),      2.50 (  0.24%),      2.60 (  0.23%),      2.60 (  0.32%),      2.60 (  0.27%),      2.50 (  0.32%),
                 592,      2.60 (  0.25%),      2.70 (  0.22%),      2.80 (  0.24%),      2.80 (  0.26%),      2.80 (  0.38%),      2.70 (  0.25%),      2.80 (  0.21%),      2.80 (  0.26%),      2.80 (  0.37%),      2.70 (  0.27%),      2.80 (  0.22%),      2.80 (  0.23%),      2.80 (  0.24%),      2.70 (  0.32%),      2.70 (  0.23%),      2.80 (  0.27%),      2.70 (  0.25%),      2.70 (  0.33%),      2.60 (  0.24%),      2.70 (  0.25%),      2.70 (  0.32%),      2.70 (  0.25%),      2.60 (  0.25%),      2.70 (  0.27%),      2.70 (  0.31%),      2.70 (  0.24%),      2.60 (  0.24%),      2.70 (  0.32%),      2.70 (  0.22%),      2.70 (  0.24%),      2.60 (  0.30%),      2.70 (  0.34%),      2.60 (  0.23%),      2.60 (  0.25%),      2.70 (  0.31%),      2.60 (  0.24%),      2.60 (  0.27%),      2.60 (  0.32%),      2.70 (  0.24%),      2.60 (  0.23%),      2.60 (  0.32%),      2.60 (  0.24%),      2.60 (  0.32%),      2.60 (  0.26%),      2.60 (  0.24%),      2.60 (  0.35%),      2.60 (  0.25%),      2.60 (  0.27%),      2.50 (  0.36%),      2.60 (  0.23%),      2.60 (  0.29%),      2.60 (  0.25%),      2.50 (  0.28%),      2.60 (  0.34%),      2.60 (  0.25%),      2.60 (  0.32%),      2.50 (  0.26%),      2.60 (  0.28%),      2.60 (  0.31%),      2.60 (  0.25%),      2.50 (  0.31%),      2.60 (  0.24%),      2.60 (  0.33%),      2.60 (  0.25%),      2.50 (  0.26%),
                 608,      2.70 (  0.36%),      2.80 (  0.25%),      2.80 (  0.24%),      2.80 (  0.23%),      2.90 (  0.24%),      2.70 (  0.34%),      2.80 (  0.22%),      2.80 (  0.24%),      2.90 (  0.24%),      2.70 (  0.35%),      2.80 (  0.26%),      2.80 (  0.23%),      2.80 (  0.28%),      2.70 (  0.30%),      2.80 (  0.27%),      2.80 (  0.25%),      2.70 (  0.24%),      2.80 (  0.34%),      2.60 (  0.26%),      2.70 (  0.24%),      2.70 (  0.29%),      2.70 (  0.36%),      2.60 (  0.24%),      2.70 (  0.24%),      2.70 (  0.34%),      2.70 (  0.27%),      2.60 (  0.24%),      2.70 (  0.28%),      2.70 (  0.34%),      2.70 (  0.23%),      2.60 (  0.25%),      2.70 (  0.33%),      2.60 (  0.23%),      2.60 (  0.27%),      2.70 (  0.31%),      2.60 (  0.25%),      2.60 (  0.24%),      2.60 (  0.31%),      2.70 (  0.24%),      2.60 (  0.28%),      2.60 (  0.31%),      2.60 (  0.24%),      2.70 (  0.24%),      2.60 (  0.25%),      2.60 (  0.26%),      2.60 (  0.33%),      2.70 (  0.25%),      2.60 (  0.24%),      2.50 (  0.33%),      2.60 (  0.24%),      2.60 (  0.37%),      2.60 (  0.23%),      2.50 (  0.24%),      2.60 (  0.35%),      2.60 (  0.24%),      2.60 (  0.34%),      2.50 (  0.25%),      2.60 (  0.25%),      2.60 (  0.33%),      2.60 (  0.28%),      2.50 (  0.31%),      2.60 (  0.22%),      2.60 (  0.31%),      2.60 (  0.24%),      2.50 (  0.32%),
                 624,      2.70 (  0.26%),      2.80 (  0.24%),      2.80 (  0.26%),      2.90 (  0.26%),      2.90 (  0.35%),      2.80 (  0.25%),      2.80 (  0.22%),      2.90 (  0.27%),      2.90 (  0.25%),      2.70 (  0.26%),      2.80 (  0.22%),      2.80 (  0.25%),      2.90 (  0.23%),      2.70 (  0.28%),      2.80 (  0.24%),      2.80 (  0.30%),      2.70 (  0.34%),      2.80 (  0.23%),      2.70 (  0.23%),      2.70 (  0.24%),      2.70 (  0.35%),      2.80 (  0.23%),      2.70 (  0.27%),      2.70 (  0.36%),      2.70 (  0.23%),      2.70 (  0.22%),      2.70 (  0.26%),      2.70 (  0.36%),      2.70 (  0.23%),      2.70 (  0.26%),      2.60 (  0.35%),      2.70 (  0.24%),      2.60 (  0.24%),      2.70 (  0.34%),      2.70 (  0.23%),      2.60 (  0.26%),      2.60 (  0.31%),      2.70 (  0.23%),      2.70 (  0.26%),      2.60 (  0.33%),      2.60 (  0.26%),      2.70 (  0.31%),      2.70 (  0.25%),      2.60 (  0.24%),      2.60 (  0.30%),      2.70 (  0.23%),      2.70 (  0.28%),      2.60 (  0.33%),      2.60 (  0.26%),      2.60 (  0.30%),      2.60 (  0.24%),      2.60 (  0.29%),      2.60 (  0.32%),      2.60 (  0.26%),      2.60 (  0.36%),      2.60 (  0.24%),      2.60 (  0.37%),      2.60 (  0.24%),      2.60 (  0.25%),      2.60 (  0.36%),      2.60 (  0.27%),      2.60 (  0.33%),      2.60 (  0.24%),      2.60 (  0.35%),      2.50 (  0.26%),
                 640,      2.60 (  0.28%),      2.70 (  0.31%),      2.70 (  0.26%),      2.70 (  0.21%),      2.80 (  0.24%),      2.70 (  0.25%),      2.70 (  0.35%),      2.80 (  0.23%),      2.80 (  0.23%),      2.60 (  0.28%),      2.70 (  0.31%),      2.70 (  0.24%),      2.80 (  0.24%),      2.60 (  0.25%),      2.70 (  0.30%),      2.70 (  0.25%),      2.60 (  0.21%),      2.70 (  0.28%),      2.60 (  0.33%),      2.60 (  0.23%),      2.70 (  0.22%),      2.70 (  0.25%),      2.60 (  0.34%),      2.60 (  0.24%),      2.70 (  0.29%),      2.70 (  0.34%),      2.60 (  0.25%),      2.60 (  0.24%),      2.70 (  0.29%),      2.70 (  0.24%),      2.60 (  0.25%),      2.60 (  0.34%),      2.60 (  0.25%),      2.60 (  0.23%),      2.60 (  0.33%),      2.50 (  0.24%),      2.60 (  0.25%),      2.60 (  0.34%),      2.60 (  0.24%),      2.50 (  0.25%),      2.60 (  0.33%),      2.60 (  0.23%),      2.60 (  0.26%),      2.50 (  0.32%),      2.60 (  0.24%),      2.60 (  0.23%),      2.60 (  0.27%),      2.50 (  0.27%),      2.50 (  0.34%),      2.50 (  0.22%),      2.60 (  0.23%),      2.60 (  0.31%),      2.50 (  0.25%),      2.60 (  0.31%),      2.60 (  0.23%),      2.60 (  0.30%),      2.50 (  0.24%),      2.50 (  0.27%),      2.60 (  0.30%),      2.60 (  0.24%),      2.50 (  0.32%),      2.50 (  0.23%),      2.60 (  0.32%),      2.60 (  0.23%),      2.50 (  0.25%),
                 656,      2.60 (  0.33%),      2.70 (  0.26%),      2.80 (  0.22%),      2.80 (  0.27%),      2.80 (  0.36%),      2.70 (  0.28%),      2.80 (  0.23%),      2.80 (  0.23%),      2.80 (  0.24%),      2.70 (  0.33%),      2.70 (  0.22%),      2.80 (  0.28%),      2.80 (  0.24%),      2.70 (  0.28%),      2.70 (  0.23%),      2.70 (  0.23%),      2.70 (  0.36%),      2.70 (  0.24%),      2.60 (  0.25%),      2.70 (  0.28%),      2.70 (  0.32%),      2.70 (  0.24%),      2.60 (  0.25%),      2.70 (  0.33%),      2.70 (  0.25%),      2.70 (  0.23%),      2.60 (  0.24%),      2.60 (  0.28%),      2.70 (  0.23%),      2.70 (  0.24%),      2.60 (  0.33%),      2.60 (  0.24%),      2.60 (  0.27%),      2.60 (  0.32%),      2.60 (  0.24%),      2.60 (  0.24%),      2.60 (  0.32%),      2.60 (  0.22%),      2.60 (  0.32%),      2.60 (  0.25%),      2.60 (  0.24%),      2.60 (  0.33%),      2.60 (  0.26%),      2.60 (  0.28%),      2.60 (  0.33%),      2.60 (  0.24%),      2.60 (  0.36%),      2.60 (  0.26%),      2.50 (  0.27%),      2.60 (  0.32%),      2.60 (  0.22%),      2.60 (  0.32%),      2.50 (  0.26%),      2.60 (  0.26%),      2.60 (  0.32%),      2.60 (  0.25%),      2.50 (  0.31%),      2.60 (  0.24%),      2.60 (  0.34%),      2.60 (  0.26%),      2.50 (  0.24%),      2.60 (  0.27%),      2.60 (  0.26%),      2.60 (  0.32%),      2.50 (  0.22%),
                 672,      2.70 (  0.30%),      2.70 (  0.26%),      2.80 (  0.22%),      2.80 (  0.24%),      2.80 (  0.28%),      2.70 (  0.37%),      2.80 (  0.23%),      2.80 (  0.22%),      2.80 (  0.23%),      2.70 (  0.36%),      2.80 (  0.22%),      2.80 (  0.23%),      2.80 (  0.26%),      2.70 (  0.36%),      2.70 (  0.22%),      2.80 (  0.22%),      2.70 (  0.24%),      2.70 (  0.29%),      2.60 (  0.22%),      2.70 (  0.26%),      2.70 (  0.34%),      2.70 (  0.24%),      2.60 (  0.23%),      2.70 (  0.34%),      2.70 (  0.25%),      2.70 (  0.24%),      2.60 (  0.25%),      2.70 (  0.27%),      2.70 (  0.24%),      2.70 (  0.24%),      2.60 (  0.27%),      2.70 (  0.22%),      2.60 (  0.26%),      2.60 (  0.24%),      2.70 (  0.21%),      2.60 (  0.30%),      2.60 (  0.27%),      2.60 (  0.26%),      2.70 (  0.33%),      2.60 (  0.24%),      2.60 (  0.24%),      2.60 (  0.34%),      2.60 (  0.24%),      2.60 (  0.37%),      2.60 (  0.26%),      2.60 (  0.24%),      2.60 (  0.33%),      2.60 (  0.22%),      2.50 (  0.35%),      2.60 (  0.27%),      2.60 (  0.23%),      2.60 (  0.36%),      2.50 (  0.26%),      2.60 (  0.33%),      2.60 (  0.24%),      2.60 (  0.24%),      2.50 (  0.29%),      2.60 (  0.27%),      2.60 (  0.30%),      2.60 (  0.26%),      2.50 (  0.33%),      2.60 (  0.26%),      2.60 (  0.32%),      2.60 (  0.22%),      2.50 (  0.32%),
