 P_len/AD_len(bytes),                   0,                  15,                  30,                  45,                  60,                  75,                  90,                 105,                 120,                 135,                 150,                 165,                 180,                 195,                 210,                 225,                 240,                 255,                 270,                 285,                 300,                 315,                 330,                 345,                 360,                 375,                 390,                 405,                 420,                 435,                 450,                 465,                 480,                 495,                 510,                 525,                 540,                 555,                 570,                 585,                 600,                 615,                 630,                 645,                 660,                 675,                 690,                 705,                 720,                 735,                 750,                 765,                 780,                 795,                 810,                 825,                 840,                 855,                 870,                 885,                 900,                 915,                 930,                 945,                 960,
                 144,      5.40 (  0.56%),      4.90 (  0.51%),      4.50 (  0.53%),      4.10 (  0.46%),      3.80 (  0.64%),      3.50 (  0.54%),      3.30 (  0.50%),      3.10 (  0.49%),      2.90 (  0.49%),      3.70 (  0.39%),      3.60 (  0.37%),      3.40 (  0.37%),      3.60 (  0.33%),      3.50 (  0.55%),      3.50 (  0.44%),      3.40 (  0.36%),      3.40 (  0.34%),      3.30 (  0.35%),      3.30 (  0.43%),      3.10 (  0.38%),      3.30 (  0.55%),      3.20 (  0.40%),      3.20 (  0.37%),      3.10 (  0.36%),      3.10 (  0.34%),      3.00 (  0.35%),      2.80 (  0.56%),      2.70 (  0.40%),      2.90 (  0.37%),      2.80 (  0.37%),      2.80 (  0.44%),      2.80 (  0.44%),      2.80 (  0.44%),      2.70 (  0.36%),      2.60 (  0.36%),      2.50 (  0.36%),      2.60 (  0.34%),      2.60 (  1.07%),      2.60 (  0.36%),      2.50 (  0.34%),      2.50 (  0.41%),      2.50 (  0.45%),      2.50 (  0.40%),      2.30 (  0.33%),      2.30 (  0.34%),      2.40 (  0.32%),      2.30 (  0.49%),      2.40 (  0.35%),      2.30 (  0.35%),      2.40 (  0.39%),      2.30 (  0.46%),      2.20 (  0.42%),      2.20 (  0.33%),      2.30 (  0.35%),      2.20 (  0.35%),      2.30 (  0.51%),      2.20 (  0.35%),      2.30 (  0.38%),      2.20 (  0.35%),      2.10 (  0.52%),      2.10 (  0.36%),      2.20 (  0.33%),      2.10 (  0.37%),      2.20 (  0.44%),      2.10 (  0.35%),
                 160,      5.30 (  0.47%),      4.90 (  0.53%),      4.50 (  0.53%),      4.10 (  0.52%),      3.80 (  0.49%),      3.60 (  0.64%),      3.40 (  0.47%),      3.20 (  0.47%),      3.00 (  0.51%),      2.90 (  0.46%),      3.60 (  0.37%),      3.50 (  0.36%),      3.30 (  0.35%),      3.50 (  0.38%),      3.40 (  0.51%),      3.40 (  0.36%),      3.30 (  0.34%),      3.30 (  0.34%),      3.20 (  0.40%),      3.20 (  0.37%),      3.10 (  0.56%),      3.20 (  0.42%),      3.10 (  0.35%),      3.10 (  0.38%),      3.00 (  0.37%),      3.10 (  0.37%),      3.00 (  0.53%),      2.80 (  0.36%),      2.70 (  0.38%),      2.80 (  0.37%),      2.80 (  0.44%),      2.80 (  0.50%),      2.70 (  0.38%),      2.80 (  0.35%),      2.70 (  0.35%),      2.60 (  0.35%),      2.50 (  0.48%),      2.60 (  0.35%),      2.50 (  0.33%),      2.60 (  0.37%),      2.50 (  0.33%),      2.40 (  0.50%),      2.50 (  0.35%),      2.50 (  0.34%),      2.30 (  0.39%),      2.30 (  0.43%),      2.40 (  0.40%),      2.30 (  0.36%),      2.40 (  0.39%),      2.30 (  0.35%),      2.40 (  0.49%),      2.30 (  0.34%),      2.20 (  0.36%),      2.20 (  0.35%),      2.30 (  0.50%),      2.20 (  0.34%),      2.30 (  0.32%),      2.20 (  0.40%),      2.30 (  0.51%),      2.20 (  0.33%),      2.10 (  0.34%),      2.10 (  0.35%),      2.20 (  0.48%),      2.10 (  0.33%),      2.20 (  0.38%),
                 176,      5.30 (  0.43%),      4.90 (  0.43%),      4.50 (  0.61%),      4.20 (  0.46%),      3.90 (  0.44%),      3.70 (  0.45%),      3.50 (  0.45%),      3.30 (  0.45%),      3.10 (  0.44%),      3.00 (  0.46%),      2.80 (  0.47%),      3.50 (  0.50%),      3.40 (  0.38%),      3.30 (  0.36%),      3.40 (  0.35%),      3.30 (  0.30%),      3.30 (  0.38%),      3.20 (  0.36%),      3.30 (  0.52%),      3.20 (  0.36%),      3.10 (  0.36%),      3.00 (  0.37%),      3.20 (  0.35%),      3.10 (  0.35%),      3.10 (  0.55%),      3.00 (  0.37%),      3.10 (  0.65%),      3.00 (  0.38%),      2.80 (  0.37%),      2.70 (  0.53%),      2.80 (  0.37%),      2.70 (  0.35%),      2.80 (  0.36%),      2.70 (  0.36%),      2.80 (  0.53%),      2.70 (  0.36%),      2.60 (  0.35%),      2.50 (  0.39%),      2.60 (  0.35%),      2.50 (  0.53%),      2.60 (  0.35%),      2.50 (  0.36%),      2.50 (  0.34%),      2.50 (  0.50%),      2.50 (  0.35%),      2.40 (  0.37%),      2.30 (  0.40%),      2.40 (  0.42%),      2.30 (  0.41%),      2.40 (  0.35%),      2.30 (  0.35%),      2.40 (  0.34%),      2.30 (  0.45%),      2.20 (  0.33%),      2.20 (  0.42%),      2.30 (  0.36%),      2.20 (  0.47%),      2.30 (  0.34%),      2.20 (  0.34%),      2.30 (  0.52%),      2.20 (  0.37%),      2.10 (  0.64%),      2.10 (  0.39%),      2.20 (  0.51%),      2.10 (  0.34%),
                 192,      5.20 (  0.43%),      4.80 (  0.42%),      4.50 (  0.43%),      4.20 (  0.42%),      3.90 (  0.46%),      3.70 (  0.63%),      3.50 (  0.44%),      3.30 (  0.46%),      3.20 (  0.44%),      3.00 (  0.45%),      2.90 (  0.43%),      2.80 (  0.49%),      3.40 (  0.34%),      3.30 (  0.50%),      3.20 (  0.40%),      3.30 (  0.36%),      3.20 (  0.36%),      3.30 (  0.34%),      3.20 (  0.35%),      3.20 (  0.34%),      3.10 (  0.53%),      3.10 (  0.38%),      3.00 (  0.37%),      3.10 (  0.39%),      3.00 (  0.37%),      3.00 (  0.52%),      3.00 (  0.38%),      3.00 (  0.35%),      2.90 (  0.34%),      2.80 (  0.39%),      2.70 (  0.52%),      2.80 (  0.39%),      2.70 (  0.35%),      2.80 (  0.34%),      2.70 (  0.35%),      2.70 (  0.52%),      2.70 (  0.37%),      2.50 (  0.37%),      2.50 (  0.37%),      2.60 (  0.38%),      2.50 (  0.42%),      2.60 (  0.35%),      2.50 (  0.36%),      2.40 (  0.38%),      2.50 (  0.50%),      2.50 (  0.35%),      2.30 (  0.35%),      2.30 (  0.36%),      2.40 (  0.50%),      2.30 (  0.34%),      2.40 (  0.32%),      2.30 (  0.42%),      2.40 (  0.51%),      2.30 (  0.36%),      2.20 (  0.35%),      2.20 (  0.36%),      2.30 (  0.51%),      2.20 (  0.33%),      2.30 (  0.40%),      2.20 (  0.35%),      2.30 (  0.48%),      2.20 (  0.34%),      2.10 (  0.35%),      2.10 (  0.48%),      2.20 (  0.36%),
                 208,      5.10 (  0.40%),      4.80 (  0.42%),      4.50 (  0.49%),      4.20 (  0.42%),      4.00 (  0.43%),      3.70 (  0.60%),      3.60 (  0.44%),      3.40 (  0.41%),      3.20 (  0.41%),      3.10 (  0.42%),      2.90 (  0.42%),      2.80 (  0.40%),      2.70 (  0.42%),      3.30 (  0.53%),      3.20 (  0.39%),      3.10 (  0.35%),      3.30 (  0.36%),      3.20 (  0.37%),      3.20 (  0.35%),      3.10 (  0.49%),      3.10 (  0.38%),      3.10 (  0.36%),      3.00 (  0.35%),      2.90 (  0.35%),      3.00 (  0.37%),      3.00 (  0.53%),      3.00 (  0.35%),      2.90 (  0.34%),      3.00 (  0.42%),      2.90 (  0.37%),      2.70 (  0.47%),      2.70 (  0.38%),      2.80 (  0.39%),      2.70 (  0.37%),      2.70 (  0.48%),      2.70 (  0.37%),      2.70 (  0.36%),      2.70 (  0.38%),      2.50 (  0.37%),      2.50 (  0.55%),      2.60 (  0.36%),      2.50 (  0.35%),      2.50 (  0.35%),      2.50 (  0.50%),      2.40 (  0.34%),      2.50 (  0.33%),      2.50 (  0.40%),      2.30 (  0.50%),      2.30 (  0.34%),      2.40 (  0.37%),      2.30 (  0.36%),      2.40 (  0.53%),      2.30 (  0.36%),      2.40 (  0.37%),      2.30 (  0.38%),      2.20 (  0.50%),      2.20 (  0.35%),      2.30 (  0.34%),      2.20 (  0.34%),      2.30 (  0.50%),      2.20 (  0.34%),      2.30 (  0.38%),      2.20 (  0.48%),      2.10 (  0.35%),      2.10 (  0.33%),
                 224,      5.10 (  0.41%),      4.80 (  0.41%),      4.50 (  0.54%),      4.20 (  0.45%),      4.00 (  0.39%),      3.80 (  0.41%),      3.60 (  0.39%),      3.40 (  0.42%),      3.30 (  0.46%),      3.10 (  0.41%),      3.00 (  0.54%),      2.90 (  0.43%),      2.80 (  0.47%),      2.70 (  0.40%),      3.30 (  0.40%),      3.20 (  0.34%),      3.10 (  0.36%),      3.20 (  0.49%),      3.10 (  0.33%),      3.10 (  0.31%),      3.00 (  0.32%),      3.10 (  0.41%),      3.00 (  0.34%),      3.00 (  0.52%),      2.90 (  0.36%),      3.00 (  0.36%),      2.90 (  0.35%),      3.00 (  0.34%),      2.90 (  0.47%),      2.90 (  0.35%),      2.90 (  0.35%),      2.70 (  0.41%),      2.60 (  0.53%),      2.70 (  0.38%),      2.70 (  0.36%),      2.70 (  0.38%),      2.70 (  0.37%),      2.70 (  0.51%),      2.60 (  0.36%),      2.50 (  0.33%),      2.50 (  0.40%),      2.50 (  0.52%),      2.50 (  0.37%),      2.50 (  0.37%),      2.50 (  0.36%),      2.40 (  0.51%),      2.50 (  0.37%),      2.40 (  0.35%),      2.30 (  0.39%),      2.30 (  0.49%),      2.40 (  0.34%),      2.30 (  0.37%),      2.40 (  0.34%),      2.30 (  0.50%),      2.40 (  0.35%),      2.30 (  0.39%),      2.20 (  0.36%),      2.20 (  0.43%),      2.30 (  0.34%),      2.20 (  0.34%),      2.30 (  0.48%),      2.20 (  0.34%),      2.30 (  0.40%),      2.20 (  0.34%),      2.20 (  0.39%),
                 240,      5.00 (  0.38%),      4.70 (  0.38%),      4.40 (  0.38%),      4.20 (  0.35%),      4.00 (  0.39%),      3.80 (  0.57%),      3.60 (  0.38%),      3.50 (  0.38%),      3.30 (  0.40%),      3.20 (  0.41%),      3.00 (  0.44%),      2.90 (  0.36%),      2.80 (  0.55%),      2.70 (  0.45%),      2.60 (  0.39%),      3.20 (  0.35%),      3.20 (  0.36%),      3.10 (  0.38%),      3.20 (  0.36%),      3.10 (  0.49%),      3.10 (  0.40%),      3.00 (  0.33%),      3.10 (  0.39%),      3.00 (  0.36%),      2.90 (  0.53%),      2.80 (  0.36%),      2.90 (  0.34%),      2.90 (  0.35%),      2.90 (  0.36%),      2.80 (  0.52%),      2.90 (  0.34%),      2.80 (  0.33%),      2.70 (  0.39%),      2.60 (  0.49%),      2.70 (  0.37%),      2.60 (  0.34%),      2.70 (  0.36%),      2.60 (  0.34%),      2.70 (  0.45%),      2.60 (  0.35%),      2.50 (  0.38%),      2.40 (  0.35%),      2.50 (  0.52%),      2.50 (  0.35%),      2.50 (  0.32%),      2.50 (  0.34%),      2.40 (  0.52%),      2.50 (  0.34%),      2.40 (  0.36%),      2.30 (  0.34%),      2.30 (  0.45%),      2.30 (  0.33%),      2.30 (  0.35%),      2.30 (  0.46%),      2.30 (  0.36%),      2.30 (  0.35%),      2.30 (  0.38%),      2.20 (  0.49%),      2.20 (  0.34%),      2.20 (  0.34%),      2.20 (  0.35%),      2.20 (  0.41%),      2.20 (  0.35%),      2.20 (  0.36%),      2.20 (  0.48%),
                 256,      4.90 (  0.33%),      4.60 (  0.32%),      4.40 (  0.31%),      4.10 (  0.32%),      3.90 (  0.35%),      3.80 (  0.50%),      3.60 (  0.40%),      3.40 (  0.37%),      3.30 (  0.35%),      3.20 (  0.35%),      3.00 (  0.38%),      2.90 (  0.33%),      2.80 (  0.44%),      2.70 (  0.38%),      2.60 (  0.32%),      2.60 (  0.33%),      3.10 (  0.32%),      3.10 (  0.34%),      3.00 (  0.34%),      3.10 (  0.53%),      3.00 (  0.34%),      3.00 (  0.32%),      3.00 (  0.38%),      3.00 (  0.35%),      2.90 (  0.53%),      2.80 (  0.37%),      2.80 (  0.33%),      2.90 (  0.31%),      2.80 (  0.34%),      2.80 (  0.50%),      2.80 (  0.34%),      2.80 (  0.33%),      2.80 (  0.39%),      2.60 (  0.50%),      2.60 (  0.36%),      2.60 (  0.32%),      2.60 (  0.32%),      2.60 (  0.31%),      2.60 (  0.46%),      2.60 (  0.32%),      2.60 (  0.39%),      2.40 (  0.36%),      2.40 (  0.50%),      2.50 (  0.33%),      2.40 (  0.33%),      2.50 (  0.33%),      2.40 (  0.47%),      2.40 (  0.33%),      2.40 (  0.36%),      2.40 (  0.46%),      2.30 (  0.36%),      2.30 (  0.34%),      2.30 (  0.32%),      2.30 (  0.50%),      2.30 (  0.32%),      2.30 (  0.35%),      2.30 (  0.39%),      2.30 (  0.50%),      2.20 (  0.36%),      2.20 (  0.35%),      2.20 (  0.53%),      2.20 (  0.34%),      2.20 (  0.32%),      2.20 (  0.37%),      2.20 (  0.46%),
                 272,      4.00 (  0.33%),      3.80 (  0.32%),      3.60 (  0.33%),      3.50 (  0.32%),      3.30 (  0.36%),      3.20 (  0.47%),      3.10 (  0.44%),      3.00 (  0.31%),      2.80 (  0.33%),      2.70 (  0.30%),      2.60 (  0.34%),      2.50 (  0.36%),      2.40 (  0.33%),      2.30 (  0.47%),      2.30 (  0.43%),      2.20 (  0.31%),      2.10 (  0.33%),      3.20 (  0.44%),      3.20 (  0.45%),      3.10 (  0.45%),      3.20 (  0.56%),      3.10 (  0.44%),      3.10 (  0.42%),      3.10 (  0.47%),      3.10 (  0.52%),      3.00 (  0.49%),      2.50 (  0.38%),      2.40 (  0.37%),      2.50 (  0.36%),      2.50 (  0.58%),      2.50 (  0.46%),      2.50 (  0.36%),      2.50 (  0.33%),      2.40 (  0.37%),      2.30 (  0.48%),      2.30 (  0.42%),      2.30 (  0.33%),      2.30 (  0.33%),      2.30 (  0.34%),      2.30 (  0.49%),      2.30 (  0.35%),      2.30 (  0.36%),      2.20 (  0.39%),      2.10 (  0.45%),      2.20 (  0.39%),      2.20 (  0.36%),      2.20 (  0.35%),      2.20 (  0.32%),      2.10 (  0.52%),      2.20 (  0.31%),      2.20 (  0.34%),      2.10 (  0.37%),      2.00 (  0.53%),      2.10 (  0.34%),      2.10 (  0.37%),      2.10 (  0.33%),      2.10 (  0.52%),      2.10 (  0.34%),      2.10 (  0.41%),      2.00 (  0.47%),      2.00 (  0.35%),      2.00 (  0.33%),      2.00 (  0.33%),      2.00 (  0.48%),      2.00 (  0.34%),
                 288,      4.10 (  0.29%),      3.80 (  0.33%),      3.70 (  0.41%),      3.50 (  0.30%),      3.40 (  0.51%),      3.20 (  0.38%),      3.10 (  0.31%),      3.00 (  0.27%),      2.90 (  0.32%),      2.80 (  0.32%),      2.70 (  0.31%),      2.60 (  0.30%),      2.50 (  0.54%),      2.40 (  0.32%),      2.30 (  0.31%),      2.30 (  0.32%),      2.20 (  0.31%),      2.10 (  0.37%),      3.20 (  0.47%),      3.10 (  0.61%),      3.00 (  0.45%),      3.10 (  0.43%),      3.10 (  0.44%),      3.10 (  0.52%),      3.00 (  0.51%),      3.10 (  0.45%),      3.00 (  0.48%),      2.50 (  0.38%),      2.40 (  0.55%),      2.50 (  0.38%),      2.50 (  0.36%),      2.50 (  0.40%),      2.50 (  0.37%),      2.50 (  0.50%),      2.40 (  0.34%),      2.30 (  0.34%),      2.30 (  0.40%),      2.40 (  0.41%),      2.30 (  0.43%),      2.30 (  0.33%),      2.30 (  0.33%),      2.30 (  0.35%),      2.30 (  0.49%),      2.20 (  0.36%),      2.20 (  0.36%),      2.20 (  0.40%),      2.20 (  0.49%),      2.20 (  0.35%),      2.20 (  0.31%),      2.10 (  0.33%),      2.20 (  0.49%),      2.20 (  0.35%),      2.10 (  0.33%),      2.10 (  0.41%),      2.10 (  0.47%),      2.10 (  0.33%),      2.10 (  0.33%),      2.10 (  0.36%),      2.10 (  0.48%),      2.10 (  0.33%),      2.00 (  0.38%),      2.00 (  0.48%),      2.00 (  0.36%),      2.00 (  0.34%),      2.10 (  0.36%),
                 304,      4.10 (  0.49%),      3.90 (  0.35%),      3.70 (  0.31%),      3.60 (  0.32%),      3.40 (  0.31%),      3.30 (  0.39%),      3.20 (  0.29%),      3.10 (  0.49%),      3.00 (  0.37%),      2.90 (  0.33%),      2.80 (  0.32%),      2.70 (  0.33%),      2.60 (  0.36%),      2.50 (  0.33%),      2.40 (  0.46%),      2.30 (  0.38%),      2.30 (  0.33%),      2.20 (  0.34%),      2.20 (  0.35%),      3.10 (  0.48%),      3.10 (  0.51%),      3.00 (  0.47%),      3.10 (  0.40%),      3.10 (  0.42%),      3.10 (  0.42%),      3.00 (  0.57%),      3.10 (  0.45%),      3.00 (  0.43%),      2.50 (  0.43%),      2.40 (  0.47%),      2.50 (  0.40%),      2.50 (  0.36%),      2.50 (  0.38%),      2.50 (  0.37%),      2.50 (  0.49%),      2.40 (  0.35%),      2.30 (  0.35%),      2.30 (  0.39%),      2.40 (  0.49%),      2.30 (  0.39%),      2.30 (  0.33%),      2.30 (  0.37%),      2.30 (  0.37%),      2.30 (  0.52%),      2.20 (  0.35%),      2.20 (  0.37%),      2.20 (  0.34%),      2.20 (  0.49%),      2.20 (  0.36%),      2.20 (  0.34%),      2.20 (  0.35%),      2.20 (  0.47%),      2.20 (  0.34%),      2.10 (  0.39%),      2.10 (  0.47%),      2.10 (  0.37%),      2.10 (  0.33%),      2.10 (  0.33%),      2.10 (  0.50%),      2.10 (  0.34%),      2.10 (  0.39%),      2.00 (  0.36%),      2.00 (  0.42%),      2.10 (  0.34%),      2.00 (  0.35%),
                 320,      4.10 (  0.39%),      3.90 (  0.41%),      3.80 (  0.31%),      3.60 (  0.28%),      3.50 (  0.31%),      3.30 (  0.38%),      3.20 (  0.31%),      3.10 (  0.47%),      3.00 (  0.35%),      2.90 (  0.30%),      2.80 (  0.31%),      2.70 (  0.31%),      2.60 (  0.30%),      2.50 (  0.31%),      2.50 (  0.48%),      2.40 (  0.31%),      2.30 (  0.31%),      2.30 (  0.31%),      2.20 (  0.34%),      2.20 (  0.43%),      3.10 (  0.54%),      3.10 (  0.44%),      3.00 (  0.43%),      3.10 (  0.42%),      3.00 (  0.41%),      3.00 (  0.56%),      3.00 (  0.43%),      3.00 (  0.44%),      2.90 (  0.46%),      2.50 (  0.54%),      2.40 (  0.36%),      2.50 (  0.36%),      2.50 (  0.36%),      2.50 (  0.40%),      2.50 (  0.43%),      2.50 (  0.35%),      2.40 (  0.37%),      2.30 (  0.35%),      2.30 (  0.53%),      2.40 (  0.37%),      2.30 (  0.33%),      2.40 (  0.33%),      2.30 (  0.49%),      2.40 (  0.35%),      2.30 (  0.34%),      2.20 (  0.40%),      2.20 (  0.49%),      2.30 (  0.35%),      2.20 (  0.34%),      2.20 (  0.33%),      2.20 (  0.49%),      2.20 (  0.35%),      2.20 (  0.37%),      2.20 (  0.45%),      2.10 (  0.37%),      2.10 (  0.36%),      2.10 (  0.34%),      2.10 (  0.47%),      2.10 (  0.34%),      2.10 (  0.38%),      2.10 (  0.36%),      2.10 (  0.37%),      2.00 (  0.32%),      2.00 (  0.34%),      2.10 (  0.47%),
                 336,      4.10 (  0.33%),      3.90 (  0.31%),      3.80 (  0.30%),      3.60 (  0.39%),      3.50 (  0.35%),      3.40 (  0.49%),      3.30 (  0.31%),      3.20 (  0.32%),      3.00 (  0.33%),      2.90 (  0.29%),      2.90 (  0.35%),      2.80 (  0.51%),      2.70 (  0.35%),      2.60 (  0.31%),      2.50 (  0.30%),      2.50 (  0.30%),      2.40 (  0.40%),      2.30 (  0.30%),      2.30 (  0.55%),      2.20 (  0.36%),      2.20 (  0.34%),      3.10 (  0.44%),      3.00 (  0.42%),      2.90 (  0.57%),      3.00 (  0.41%),      3.00 (  0.41%),      3.00 (  0.43%),      2.90 (  0.54%),      3.00 (  0.42%),      2.90 (  0.42%),      2.50 (  0.35%),      2.40 (  0.50%),      2.50 (  0.39%),      2.50 (  0.35%),      2.50 (  0.40%),      2.40 (  0.36%),      2.50 (  0.50%),      2.40 (  0.36%),      2.30 (  0.34%),      2.30 (  0.35%),      2.30 (  0.50%),      2.30 (  0.35%),      2.30 (  0.35%),      2.30 (  0.37%),      2.30 (  0.50%),      2.30 (  0.34%),      2.20 (  0.35%),      2.20 (  0.34%),      2.20 (  0.49%),      2.20 (  0.36%),      2.20 (  0.38%),      2.20 (  0.50%),      2.20 (  0.34%),      2.20 (  0.35%),      2.20 (  0.35%),      2.10 (  0.48%),      2.10 (  0.35%),      2.10 (  0.39%),      2.10 (  0.44%),      2.10 (  0.37%),      2.10 (  0.34%),      2.10 (  0.34%),      2.10 (  0.50%),      2.00 (  0.33%),      2.00 (  0.35%),
                 352,      4.10 (  0.29%),      3.90 (  0.52%),      3.80 (  0.28%),      3.70 (  0.31%),      3.50 (  0.31%),      3.40 (  0.30%),      3.30 (  0.28%),      3.20 (  0.52%),      3.10 (  0.33%),      3.00 (  0.69%),      2.90 (  0.29%),      2.80 (  0.37%),      2.70 (  0.30%),      2.70 (  0.50%),      2.60 (  0.31%),      2.50 (  0.30%),      2.40 (  0.29%),      2.40 (  0.29%),      2.30 (  0.34%),      2.30 (  0.50%),      2.20 (  0.33%),      2.20 (  0.33%),      3.00 (  0.42%),      3.00 (  0.46%),      2.90 (  0.55%),      3.00 (  0.40%),      2.90 (  0.41%),      3.00 (  0.42%),      2.90 (  0.52%),      2.90 (  0.42%),      2.90 (  0.43%),      2.50 (  0.41%),      2.40 (  0.51%),      2.50 (  0.36%),      2.40 (  0.36%),      2.50 (  0.35%),      2.40 (  0.51%),      2.50 (  0.39%),      2.40 (  0.35%),      2.30 (  0.40%),      2.30 (  0.51%),      2.30 (  0.38%),      2.30 (  0.35%),      2.30 (  0.33%),      2.30 (  0.51%),      2.30 (  0.33%),      2.30 (  0.34%),      2.20 (  0.38%),      2.20 (  0.51%),      2.20 (  0.32%),      2.20 (  0.33%),      2.20 (  0.32%),      2.20 (  0.39%),      2.20 (  0.33%),      2.20 (  0.39%),      2.20 (  0.49%),      2.10 (  0.35%),      2.10 (  0.34%),      2.10 (  0.41%),      2.10 (  0.37%),      2.10 (  0.59%),      2.10 (  0.36%),      2.10 (  0.47%),      2.10 (  0.35%),      2.00 (  0.34%),
                 368,      4.20 (  0.40%),      4.00 (  0.40%),      3.80 (  0.35%),      3.70 (  0.34%),      3.60 (  0.39%),      3.40 (  0.31%),      3.40 (  0.45%),      3.30 (  0.38%),      3.10 (  0.36%),      3.10 (  0.34%),      3.00 (  0.33%),      2.90 (  0.34%),      2.80 (  0.48%),      2.70 (  0.35%),      2.60 (  0.34%),      2.60 (  0.35%),      2.50 (  0.42%),      2.40 (  0.32%),      2.40 (  0.53%),      2.30 (  0.36%),      2.30 (  0.36%),      2.20 (  0.38%),      2.20 (  0.38%),      3.00 (  0.51%),      3.00 (  0.44%),      2.90 (  0.41%),      3.00 (  0.44%),      2.90 (  0.51%),      3.00 (  0.41%),      2.90 (  0.41%),      2.90 (  0.40%),      2.90 (  0.53%),      2.50 (  0.38%),      2.40 (  0.36%),      2.50 (  0.41%),      2.40 (  0.50%),      2.50 (  0.37%),      2.40 (  0.35%),      2.50 (  0.60%),      2.40 (  0.50%),      2.30 (  0.35%),      2.30 (  0.31%),      2.30 (  0.39%),      2.30 (  0.50%),      2.30 (  0.33%),      2.30 (  0.34%),      2.30 (  0.36%),      2.30 (  0.47%),      2.20 (  0.35%),      2.20 (  0.40%),      2.20 (  0.43%),      2.20 (  0.37%),      2.20 (  0.35%),      2.20 (  0.34%),      2.20 (  0.48%),      2.20 (  0.33%),      2.20 (  0.37%),      2.10 (  0.46%),      2.10 (  0.36%),      2.10 (  0.33%),      2.10 (  0.40%),      2.10 (  0.38%),      2.10 (  0.59%),      2.10 (  0.39%),      2.10 (  0.48%),
                 384,      4.20 (  0.34%),      4.00 (  0.33%),      3.90 (  0.35%),      3.70 (  0.33%),      3.60 (  0.48%),      3.50 (  0.33%),      3.40 (  0.31%),      3.30 (  0.35%),      3.20 (  0.37%),      3.10 (  0.53%),      3.00 (  0.39%),      2.90 (  0.35%),      2.80 (  0.31%),      2.80 (  0.33%),      2.70 (  0.34%),      2.60 (  0.53%),      2.60 (  0.33%),      2.50 (  0.35%),      2.40 (  0.41%),      2.40 (  0.38%),      2.30 (  0.54%),      2.30 (  0.39%),      2.20 (  0.37%),      2.20 (  0.36%),      3.00 (  0.42%),      2.90 (  0.54%),      2.90 (  0.43%),      3.00 (  0.40%),      2.90 (  0.44%),      2.90 (  0.54%),      2.90 (  0.41%),      2.90 (  0.41%),      2.80 (  0.42%),      2.50 (  0.50%),      2.40 (  0.36%),      2.50 (  0.39%),      2.40 (  0.36%),      2.50 (  0.51%),      2.40 (  0.36%),      2.50 (  0.36%),      2.40 (  0.44%),      2.30 (  0.39%),      2.30 (  0.37%),      2.30 (  0.39%),      2.30 (  0.49%),      2.30 (  0.36%),      2.30 (  0.33%),      2.30 (  0.33%),      2.30 (  0.50%),      2.20 (  0.35%),      2.20 (  0.40%),      2.20 (  0.49%),      2.20 (  0.36%),      2.20 (  0.33%),      2.20 (  0.34%),      2.20 (  0.46%),      2.20 (  0.35%),      2.20 (  0.38%),      2.10 (  0.47%),      2.10 (  0.34%),      2.10 (  0.34%),      2.10 (  0.48%),      2.20 (  0.34%),      2.10 (  0.37%),      2.20 (  0.46%),
                 400,      3.60 (  0.36%),      3.50 (  0.32%),      3.30 (  0.34%),      3.20 (  0.33%),      3.10 (  0.35%),      3.00 (  0.48%),      3.00 (  0.38%),      2.90 (  0.36%),      2.80 (  0.34%),      2.70 (  0.34%),      2.60 (  0.36%),      2.60 (  0.49%),      2.50 (  0.42%),      2.40 (  0.36%),      2.40 (  0.36%),      2.30 (  0.34%),      2.20 (  0.35%),      2.20 (  0.35%),      2.10 (  0.47%),      2.10 (  0.38%),      2.00 (  0.36%),      2.00 (  0.38%),      2.00 (  0.42%),      1.90 (  0.38%),      1.90 (  0.54%),      2.60 (  0.39%),      2.60 (  0.42%),      2.60 (  0.40%),      2.60 (  0.51%),      2.60 (  0.42%),      2.60 (  0.39%),      2.60 (  0.45%),      2.60 (  0.53%),      2.60 (  0.42%),      2.20 (  0.36%),      2.20 (  0.38%),      2.20 (  0.47%),      2.20 (  0.41%),      2.20 (  0.35%),      2.20 (  0.40%),      2.20 (  0.37%),      2.20 (  0.42%),      2.10 (  0.35%),      2.10 (  0.36%),      2.10 (  0.35%),      2.10 (  0.47%),      2.10 (  0.33%),      2.10 (  0.40%),      2.10 (  0.46%),      2.10 (  0.39%),      2.00 (  0.32%),      2.00 (  0.36%),      2.10 (  0.51%),      2.00 (  0.35%),      2.10 (  0.34%),      2.00 (  0.39%),      2.00 (  0.51%),      2.00 (  0.35%),      2.00 (  0.33%),      1.90 (  0.50%),      1.90 (  0.33%),      2.00 (  0.33%),      1.90 (  0.35%),      2.00 (  0.49%),      2.00 (  0.33%),
